type,hops,domain,question,tries search,precision search,recall search,F1 Score Search,Tries,Precision,Recall,F1 Score RAG,RDFs precision,RDFs Recall,RDFs F1 Score,Golden Standard/Our answers Rag/Search,Commentary
easy,1,companies,Where is Image Engine headquartered?,1,1,1,1,1,1,1,1,,,,Vancouver/Vancouver/Vancouver,
easy,1,public_figures,What is the occupation of Ahmad Heryawan?,1,1,1,1,1,1,1,1,,,,politician/politician/politician,
easy,1,events,What happened in the event Portuguese invasion of the Banda Oriental (1811–12) ?,1,0,0,0,2,0,1,0,,,,,The event does not have a “country of Origin saved in Wikidata
easy,1,companies,Where is Democratic Party headquartered?,1,1,1,1,1,1,1,1,,,,Washington DC/Washington DC/Washington DC,
easy,1,movies,Who directed the movie Percy?,1,1,1,1,1,1,1,1,,,,Ralph Tomas/ Ralph Tomas/Ralph Tomas,It got 2 IDs as hints and chose the second one had to manuall instruct it to use the other one
easy,1,public_figures,What is the occupation of Woody Allen?,1,1,1,1,1,1,1,1,,,,"screenwriter/screenwriter/screenwriter  actor/actor/actor  
writer/writer/writer  
composer/composer/composer  
clarinetist/clarinetist/clarinetist  
singer/singer/singer  
playwright/playwright/playwright  
comedian/comedian/comedian  
character actor/character actor/character actor  
film score composer/film score composer/film score composer  
journalist/journalist/journalist  
film director/film director/film director  
film producer/film producer/film producer  
director/director/director  
film actor/film actor/film actor  
producer/producer/producer  
film screenwriter/film screenwriter/film screenwriter",Multiple occupations were found none of the false however couldn’t identify though between things like actor and film actor
easy,1,countries,What is the capital of Kazakhstan?,1,1,1,1,1,1,1,1,,,,Astana/Astana/Astana,
easy,1,movies,Who directed the movie Bloodbath at the House of Death?,1,1,1,1,1,1,1,1,,,,Ray Cameron/Ray Cameron/Ray Cameron,
easy,1,countries,What is the capital of Timor-Leste?,1,1,1,1,1,1,1,1,,,,Dili/Dili/Dili,
easy,1,public_figures,What is the occupation of Rupert Wyatt?,1,1,1,1,1,1,1,1,,,,"screenwriter, cinematographer, film director, film producer, film screenwriter /screenwriter, cinematographer, film director, film producer, film screenwriter/screenwriter, cinematographer, film director, film producer, film screenwriter ",
easy,1,events,In which country did the event Puya Mei Thaba happen?,,,,,,,,,,,,,Skipped for now location was only in the description
easy,1,companies,Where is MÁVAG headquartered?,1,1,1,1,2,1,1,1,,,,Budapest/Budapest/Budapest; Budapest district VII,Had to use rdfs:label I believe the problem lies with the foreign word
easy,1,countries,What is the capital of Ecuador?,1,1,1,1,1,1,1,1,,,,Quito/Quito/Quito,
easy,1,countries,What is the capital of The Gambia?,1,1,1,1,1,1,1,1,,,,Banjul/Banjul/Banjul,
easy,1,public_figures,What is the occupation of Bruce Springsteen?,1,1,1,1,1,1,1,1,,,,"composer, singer, record producer, pianist, songwriter, guitarist, film director, television actor, film actor, recording artist /composer, singer, record producer, pianist, songwriter, guitarist, film director, television actor, film actor, recording artist/composer, singer, record producer, pianist, songwriter, guitarist, film director, television actor, film actor, recording artist ",
easy,1,companies,Where is International Student Identity Card headquartered?,1,1,1,1,1,1,1,1,,,,Amsterdam/Amsterdam/Amsterdam,
easy,1,companies,Where is Atmosphere Visual Effects headquartered?,1,1,1,1,1,1,1,1,,,,Vancouver/Vancouver/Vancouver,
easy,1,public_figures,What is the occupation of Lech Kaczyński?,1,1,1,1,1,1,1,1,,,,"lawyer, politician, dissident, jurist, lecturer, university teacher, film actor, trade unionist, legal scholar/politician/lawyer, politician, dissident, jurist, lecturer, university teacher, film actor, trade unionist, legal scholar
",
easy,1,events,What is the short name for Big Bang nucleosynthesis,1,1,1,1,1,1,1,1,,,,BBN/BBN/BBN,
easy,1,companies,Where is Workers’ Party of Korea headquartered?,1,1,1,1,1,1,1,1,,,,Kim Il-sung Square/                         /Kim Il-sung Square,
easy,1,events,What is the capital of United Kingdom?,1,1,1,1,1,1,1,1,,,,London/London/London,
easy,1,countries,What is the capital of Uganda?,1,1,1,1,1,1,1,1,,,,Kampala/Kampala/Kampala,
easy,1,public_figures,Show me 10 songs by Miley Cyrus ,1,1,1,1,1,1,1,1,,,,"Who Owns My Heart, Can't Be Tamed, I Miss You, 7 Things, I Thought I Lost You, 4x4, FU, Dooo It!, Lighter (Miley Cyrus song), Malibu/Who Owns My Heart, Can't Be Tamed, I Miss You, 7 Things, I Thought I Lost You, 4x4, FU, Dooo It!, Lighter (Miley Cyrus song), Malibu/ Younger Now, Nothing Breaks Like a Heart, On a Roll, Q115166497, Party in the U.S.A., I Miss You, I Thought I Lost You, Send It On, Gonna Get This, Breakout
",
easy,1,countries,What is the capital of Bangladesh?,1,1,1,1,1,1,1,1,,,,Dhaka/Dhaka/Dhaka,
easy,1,movies,Who directed the movie Das Boot?,1,1,1,1,1,1,1,1,,,,Wolfgang Petersen/Wolfgang Petersen/Wolfgang Petersen,
easy,1,companies,Who is the chairman of the 1. FSV Mainz 05?,1,1,1,1,1,1,1,1,,,,"Stefan Hoffman, Harald Strutz/Stefan Hofmann/Stefan Hofmann",Would only show the current one and not all of them
easy,1,movies,Who directed the movie Stash House?,1,1,1,1,4,1,1,1,,,,Eduardo Rodriguez/Eduardo Rodriguez/Eduardo Rodriguez,Even though the id was in the database was dedicated in using rdfs:label I don’t know why/ Search method gave the correct name
easy,1,movies,Who directed the movie The Twilight Saga: Breaking Dawn – Part 1?,1,1,1,1,1,1,1,1,,,,Q361336/Q361336/Bill Condon ,
easy,1,events,How many people died at the April 2010 Kohat bombings,4,0,0,0,1,1,1,1,,,,58/58/0,Was very inventive got many QIDs didn’t know which one was correct so used union
easy,1,public_figures,How many children did Willoughby Newton have?,1,1,1,1,2,1,1,1,,,,1/  1/ 1,Had to specifically tell him to use count otherwise it used some weird property
easy,2,public_figures,What are films directed by Hans Steinhoff?,1,1,1,1,1,1,1,1,,,,"Rembrandt, Der alte und der junge König, Hitlerjunge Quex, Ohm Krüger, Robert Koch, The Vulture Wally, Scampolo, Tanz auf dem Vulkan, Shiva und die Galgenblume, Everybody Wins/Rembrandt, Der alte und der junge König, Hitlerjunge Quex, Ohm Krüger, Robert Koch, The Vulture Wally, Scampolo, Tanz auf dem Vulkan, Shiva und die Galgenblume, Everybody Wins (Found 53 of them not all of them were written for simplicity)/ Found 51 of them",
easy,1,companies,Who was Gyldendal founded by?,1,1,1,1,1,1,1,1,,,,Søren Gyldendal  /Søren Gyldendal /Søren Gyldendal  ,
easy,1,movies,Who was the screenwriter for the movie A Fantastic Fear of Everything  ?,1,1,1,1,1,1,1,1,,,,Crispian Mills/  /Crispian Mills  ,
easy,1,movies,Who directed the movie Ghost?,1,1,1,1,1,1,1,1,,,,Jerry Zucker/Jerry Zucker/Jerry Zucker,
easy,2,countries,What is the life expectancy of people in Switzerland?,3,0,0,0,1,1,1,1,,,,83.8 years/83.8 years/0,
,,,,,,,"0,9117647059",,,,"0,9705882353",,,,,
intermediate,2,movies,What are the review scores for the movie Heading South?,1,1,1,1,1,1,1,1,,,,"(""70%"", ""Rotten Tomatoes""), (""73/100"", ""Metacritic""), (""6.7/10"", ""Rotten Tomatoes"") /(""70%"", ""Rotten Tomatoes""), (""73/100"", ""Metacritic""), (""6.7/10"", ""Rotten Tomatoes"") /(""70%"", ""Rotten Tomatoes""), (""73/100"", ""Metacritic""), (""6.7/10"", ""Rotten Tomatoes"") ",Although the numbers were correct as well as the syntax the labels were misinformed
intermediate,2,public_figures,When was Pertinax born?,1,1,1,1,1,1,1,1,,,,0126-07-31T00:00:00Z /0126-07-31T00:00:00Z/0126-07-31T00:00:00Z  ,
intermediate,2,companies,What are the political ideologies of the Pirate Party?,2,1,1,1,1,1,1,1,,,,"freedom of information, privacy, e-democracy, environmentalism/freedom of information, privacy, e-democracy, environmentalism ","i had to say to give all of them and there were some not useful outputs like ""republican party"". Dont know how to score it (20 wrong outputs of 50)"
intermediate,2,movies,Who composed the soundtrack for the movie The Madwoman of Chaillot?,1,1,1,1,1,1,1,1,,,,"Michael J. Lewis/Michael J. Lewis/Michael J. Lewis    
",
